day_number,AN1_50S_WS_Avg,AN2_50N_WS_Avg,AN3_30S_WS_Avg,AN4_10S_WS_Avg,AN1_50S_WS_Std,AN2_50N_WS_Std,AN3_30S_WS_Std,AN4_10S_WS_Std,AN1_50S_WS_3SA_Max,AN2_50N_WS_3SA_Max,AN3_30S_WS_3SA_Max,AN4_10S_WS_3SA_Max,WV1_48N_WD_AVG,WV1_48N_WV_STD,WV2_28N_WD_AVG,WV2_28N_WV_STD,WV3_8N_WD_AVG,WV3_8N_WV_STD,ANx_80_WS_min_Avg,ANx_80_WS_Avg,ANx_80_WS_max_Avg,TRH1_50_TMP_Avg,TRH1_50_RH_Avg,TRH2_10_RH_Avg,BAR1_50_PRES_Avg,BAR2_10_PRES_Avg
1,8.25,8.08,8.08,7.808,0.477,0.465,0.45,0.501,9.19,9.08,9.18,8.87,107.1,2.959,110.3,3.03,125.6,3.894,6.721,8.41,10.09,12.64,91.6,91.2,1015.0,1019.0
2,7.931625,7.739999999999999,7.698541666666666,7.1395625,0.46445833333333336,0.45597916666666666,0.47241666666666665,0.5419791666666667,9.043854166666668,8.864520833333334,8.864125,8.460645833333333,107.11666666666667,3.4412291666666666,110.08749999999999,3.64025,124.57291666666667,4.461791666666667,6.397666666666667,8.206395833333334,10.028520833333333,13.60375,88.45041666666667,90.18124999999999,1010.2916666666666,1014.6458333333334
3,8.645895833333332,8.442166666666667,8.318,7.6840625,0.7203958333333333,0.7367083333333334,0.7146041666666667,0.7693541666666667,10.424625,10.2885,10.164,9.715770833333334,161.43541666666667,4.281979166666667,162.49583333333334,4.4309375,177.58124999999998,5.547249999999999,6.9026875,8.987145833333333,11.089020833333334,13.725,84.18166666666666,85.316875,999.0208333333334,1003.3541666666666
4,4.659020833333334,4.613875,4.5183333333333335,4.090395833333333,0.45877083333333335,0.4530625,0.45227083333333334,0.5125833333333333,5.838020833333334,5.754333333333332,5.6121875,5.26725,160.19166666666666,6.261270833333334,164.46875,6.0177499999999995,179.01041666666666,8.375729166666666,3.4099166666666663,4.9098125,6.559270833333334,12.660416666666668,75.22666666666667,76.96666666666667,998.9375,1003.1041666666666
5,3.9343749999999997,3.9408333333333334,3.697645833333333,3.6446458333333336,0.35560416666666667,0.3350625,0.38177083333333334,0.4449166666666667,4.746083333333334,4.7201875,4.577,4.6641875,157.14643750000002,5.676854166666666,163.04333333333332,6.1542708333333325,177.94208333333333,8.223645833333334,2.5227291666666667,4.0534375,6.089875,12.267916666666666,94.18958333333335,92.5125,986.7916666666666,990.9583333333334
6,6.8060624999999995,6.795270833333333,6.6504166666666675,6.147375,0.494375,0.49922916666666667,0.5054375,0.6888541666666667,8.014395833333333,7.9893125000000005,7.8784375,7.656124999999999,267.6740208333334,4.879041666666667,266.124375,4.607083333333333,243.81008333333332,9.798083333333333,5.3228125,7.1236875,8.945145833333333,12.299791666666666,90.96458333333334,90.60875,985.2291666666666,989.5625
7,5.1426875,5.066166666666667,5.007770833333333,4.658291666666667,0.36362500000000003,0.37325,0.38214583333333335,0.5165000000000001,5.995854166666667,5.9480208333333335,5.9505625,5.822166666666667,163.9625,5.8930625,163.56179166666666,6.428895833333333,166.91247916666666,8.884145833333333,3.7315,5.351354166666667,7.0568333333333335,10.705916666666667,89.30041666666666,88.745625,985.9375,990.2291666666666
8,5.155708333333333,5.165729166666667,4.9980416666666665,4.863875,0.4799166666666667,0.500625,0.46227083333333335,0.4908958333333333,6.303208333333333,6.3625,6.1617291666666665,6.062833333333334,266.675,7.701270833333333,266.44166666666666,7.6645208333333334,259.28375,9.877875,3.806625,5.32675,7.013916666666667,12.516041666666666,80.63208333333334,81.34041666666667,990.2916666666666,994.5833333333334
9,4.269645833333334,4.165958333333333,4.179833333333334,3.6702708333333334,0.2898541666666667,0.30275,0.3139166666666667,0.44910416666666664,4.903708333333333,4.831583333333334,4.8641250000000005,4.673208333333333,224.06035416666668,4.302229166666667,220.51539583333332,4.700958333333333,182.10808333333333,7.870354166666666,3.2456041666666664,4.528125,5.892458333333334,12.346458333333333,88.34937500000001,88.34375,1005.4166666666666,1009.7708333333334
10,3.8610208333333333,3.8017083333333335,3.8296666666666668,3.786583333333333,0.27197916666666666,0.29922916666666666,0.28877083333333337,0.30624999999999997,4.5264375,4.519541666666666,4.514145833333333,4.4770208333333334,201.34583333333333,5.925145833333333,207.32645833333333,5.8693124999999995,225.06875,6.90675,2.7727083333333336,3.9277916666666663,5.286979166666667,12.8225,77.13770833333334,82.88458333333334,1017.0416666666666,1021.3125
