,TIMESTAMP,AN1_50S_WS_Avg,AN2_50N_WS_Avg,AN3_30S_WS_Avg,AN4_10S_WS_Avg,AN1_50S_WS_Std,AN2_50N_WS_Std,AN3_30S_WS_Std,AN4_10S_WS_Std,AN1_50S_WS_3SA_Max,AN2_50N_WS_3SA_Max,AN3_30S_WS_3SA_Max,AN4_10S_WS_3SA_Max,WV1_48N_WD_AVG,WV1_48N_WV_STD,WV2_28N_WD_AVG,WV2_28N_WV_STD,WV3_8N_WD_AVG,WV3_8N_WV_STD,ANx_80_WS_min_Avg,ANx_80_WS_Avg,ANx_80_WS_max_Avg,conf_Avg,TRH1_50_TMP_Avg,TRH1_50_RH_Avg,TRH2_10_TMP_Avg,TRH2_10_RH_Avg,BAR1_50_PRES_Avg,BAR2_10_PRES_Avg,Days
0,2015-09-10 23:00:00,8.25,8.08,8.08,7.808,0.477,0.465,0.45,0.501,9.19,9.08,9.18,8.87,107.1,2.959,110.3,3.03,125.6,3.894,6.721,8.41,10.09,79.9,12.64,91.6,12.89,91.2,1015.0,1019.0,1
1,2015-09-11 00:00:00,5.4615,5.3995,5.3385,4.9955,0.3219999999999999,0.3255,0.4014999999999999,0.4525,6.3865,6.2525,6.182499999999999,6.0645,119.2,2.574,122.5,2.9770000000000003,137.8,4.5135000000000005,4.388999999999999,5.6535,6.926500000000001,77.63,12.24,92.9,12.5,92.2,1015.0,1019.0,2
2,2015-09-11 01:00:00,5.1935,5.148,4.6855,4.191,0.3894999999999999,0.3875,0.411,0.3775,5.98,6.1505,5.8025,5.2415,116.05,4.0825000000000005,120.2,4.4335,134.9,4.6325,3.6435,5.459,7.295999999999999,66.28,12.305,92.45,12.49,91.75,1014.5,1019.0,2
3,2015-09-11 02:00:00,5.3870000000000005,5.299,4.5515,3.719,0.293,0.3035,0.3705,0.3209999999999999,5.9975000000000005,5.956,5.524,4.6225000000000005,110.75,2.9135,116.9,4.7010000000000005,133.35000000000002,5.083,3.756,5.752000000000001,7.755,64.66999999999999,12.739999999999998,91.75,12.62,92.75,1014.0,1018.0,2
4,2015-09-11 03:00:00,4.239,4.201499999999999,3.989,3.83,0.4425,0.4475,0.4445,0.391,5.3445,5.2795000000000005,5.0685,4.86,116.75,5.712,120.95,5.7935,136.45,5.895,2.938,4.363,5.876,66.225,12.515,92.25,12.71,91.95,1013.5,1018.0,2
5,2015-09-11 04:00:00,5.688,5.6145,5.406499999999999,4.948,0.4659999999999999,0.448,0.3895,0.4415,6.7425,6.557,6.401999999999999,5.9795,110.8,4.1225000000000005,116.75,4.5075,134.85,4.837,4.4225,5.9325,7.4425,74.56,12.09,93.6,12.105,92.75,1013.0,1017.0,2
6,2015-09-11 05:00:00,6.202500000000001,6.1355,5.448499999999999,4.898,0.2755,0.2764999999999999,0.3269999999999999,0.3235,6.759,6.8705,6.208,5.6315,114.35,2.406,118.55,3.1965,136.0,3.946,4.2045,6.4655000000000005,8.73,64.59,11.89,93.55,11.865,93.75,1012.0,1017.0,2
7,2015-09-11 06:00:00,5.824,5.720000000000001,5.5625,5.362,0.506,0.511,0.433,0.438,6.963,7.0815,6.7395,6.4375,108.25,4.395,110.05,4.157,122.7,4.0925,4.237500000000001,5.9565,7.695,71.65,12.11,93.8,12.335,92.95,1012.0,1017.0,2
8,2015-09-11 07:00:00,5.1055,5.0415,4.9455,4.5545,0.3005,0.304,0.367,0.4185,5.743,5.736000000000001,5.718,5.581,115.3,2.6845,117.65,3.1125,130.4,4.3165,4.1835,5.3015,6.4215,78.81,13.085,92.15,13.21,92.2,1012.0,1017.0,2
9,2015-09-11 08:00:00,3.9595,3.892,3.5345,3.1055,0.5015000000000001,0.514,0.4305,0.368,5.3875,5.203,4.629,3.969,113.75,6.248,114.95,7.1425,125.15,8.385000000000002,2.6915,4.1885,5.7935,62.515,14.145,88.2,14.305,88.6,1012.0,1017.0,2
10,2015-09-11 09:00:00,6.851,6.7305,6.5225,5.991,0.565,0.552,0.5569999999999999,0.5445,8.0815,7.9475,7.906499999999999,7.5315,106.8,5.9,108.05,5.8855,120.1,5.257,5.3315,7.140499999999999,8.985,74.41,14.585,84.9,14.53,87.05000000000001,1012.0,1016.5,2
11,2015-09-11 10:00:00,7.4855,7.3135,7.534499999999999,7.157500000000001,0.5619999999999999,0.5505,0.605,0.6325000000000001,8.64,8.66,8.76,8.625,100.45,4.545,103.35,4.2065,116.65,4.9995,6.005,7.6845,9.365,78.065,15.22,80.36,15.025,83.69999999999999,1011.5,1015.5,2
12,2015-09-11 11:00:00,9.83,9.52,9.93,9.355,0.4415,0.4255,0.472,0.683,11.22,10.9,11.26,10.83,93.7,2.5655,97.15,2.664,112.35,3.709,8.0325,10.105,12.175,79.64,14.77,84.65,14.51,88.3,1010.5,1014.5,2
13,2015-09-11 12:00:00,11.255,10.88,11.27,10.420000000000002,0.523,0.497,0.52,0.7275,12.555,12.11,13.015,12.57,96.15,2.5875,98.35,2.2145,113.8,3.716,9.43,11.655,13.875,81.095,14.735,85.0,14.325,90.05,1010.0,1014.0,2
14,2015-09-11 13:00:00,11.54,11.17,11.475,10.575,0.4365,0.4075,0.51,0.6145,12.58,12.085,12.62,12.135,97.75,2.1685,99.75,2.115,114.5,3.4375,9.82,11.945,14.07,82.2,14.845,84.35,14.235,90.85,1009.0,1013.5,2
15,2015-09-11 14:00:00,11.22,10.865,11.355,10.54,0.6025,0.5920000000000001,0.581,0.7184999999999999,12.805,12.42,12.605,11.98,96.8,2.296,98.95,2.1335,114.05,3.3935000000000004,9.3,11.605,13.91,80.28999999999999,14.96,83.5,14.37,90.0,1009.0,1013.0,2
16,2015-09-11 15:00:00,12.265,11.835,12.185,11.16,0.4489999999999999,0.434,0.5255000000000001,0.698,13.23,12.815,13.485,12.865,97.0,2.015,99.75,2.225,114.75,3.7075,10.31,12.72,15.13,81.15,14.425,87.85,14.15,91.7,1008.5,1013.0,2
17,2015-09-11 16:00:00,11.845,11.45,11.755,10.835,0.4639999999999999,0.434,0.4024999999999999,0.6845,13.095,12.435,12.775,12.26,98.35,2.563,100.05,2.1535,114.65,3.5125,10.195,12.26,14.335,83.2,14.66,85.0,14.29,90.8,1008.0,1012.0,2
18,2015-09-11 17:00:00,11.965,11.605,11.614999999999998,10.67,0.4885,0.477,0.4445,0.6545000000000001,13.23,12.805,12.855,12.0,103.05,2.7105,104.9,2.6365,119.1,4.0685,10.295,12.385,14.475,83.1,14.25,86.19999999999999,14.16,90.05,1008.0,1012.0,2
19,2015-09-11 18:00:00,10.415,10.115,10.185,9.59,0.5455000000000001,0.544,0.546,0.7005,11.57,11.34,11.49,11.5,103.1,2.9955,105.7,2.7865,120.35,3.9295,8.75,10.695,12.645,81.8,14.0,85.55,14.145,87.05,1008.0,1012.0,2
20,2015-09-11 19:00:00,10.34,10.1,10.07,9.495,0.593,0.5615,0.6565000000000001,0.7715000000000001,11.58,11.465,11.4,11.255,109.05,2.7545,112.15,3.0575,126.5,4.066,8.685,10.62,12.56,81.75,13.6,86.8,13.82,87.65,1008.0,1012.0,2
21,2015-09-11 20:00:00,9.12,8.9,8.895,8.495,0.4765,0.4525,0.5155000000000001,0.563,10.19,9.91,10.04,9.88,109.1,2.5700000000000003,111.85,3.0405,126.3,3.7955,7.548500000000001,9.315,11.08,80.95,13.475,88.95,13.705,89.15,1007.0,1012.0,2
22,2015-09-11 21:00:00,6.126,6.0085,5.909,5.622999999999999,0.6085,0.6065,0.577,0.5055000000000001,7.649,7.580999999999999,7.499,7.124499999999999,111.65,4.633,114.45,4.653499999999999,127.9,5.1045,4.7555,6.302,7.858,75.39,13.265,90.0,13.475,89.4,1007.0,1011.5,2
23,2015-09-11 22:00:00,6.1755,6.0915,5.808,5.4175,0.4115,0.414,0.347,0.3635,7.422,7.423,6.840999999999999,6.293,116.45,3.769,119.8,3.7265,133.95,4.042,4.872999999999999,6.3895,7.91,76.055,13.27,90.1,13.39,90.45,1006.5,1011.0,2
24,2015-09-11 23:00:00,6.8655,6.7245,6.7940000000000005,6.422000000000001,0.4835,0.478,0.504,0.6145,7.9015,7.7655,7.913499999999999,7.8195,106.2,3.3785,109.35,3.8465,123.2,4.6435,5.747,7.0600000000000005,8.3755,81.35,13.31,88.94999999999999,13.5,89.25,1006.0,1010.0,2
