TIMESTAMP,AN1_50S_WS_Avg,AN2_50N_WS_Avg,AN3_30S_WS_Avg,AN4_10S_WS_Avg,AN1_50S_WS_Std,AN2_50N_WS_Std,AN3_30S_WS_Std,AN4_10S_WS_Std,AN1_50S_WS_3SA_Max,AN2_50N_WS_3SA_Max,AN3_30S_WS_3SA_Max,AN4_10S_WS_3SA_Max,WV1_48N_WD_AVG,WV1_48N_WV_STD,WV2_28N_WD_AVG,WV2_28N_WV_STD,WV3_8N_WD_AVG,WV3_8N_WV_STD,ANx_80_WS_min_Avg,ANx_80_WS_Avg,ANx_80_WS_max_Avg,conf_Avg,TRH1_50_TMP_Avg,TRH1_50_RH_Avg,TRH2_10_TMP_Avg,TRH2_10_RH_Avg,BAR1_50_PRES_Avg,BAR2_10_PRES_Avg
2015-09-10T23:30:00,8.25,8.08,8.08,7.808,0.477,0.465,0.45,0.501,9.19,9.08,9.18,8.87,107.1,2.959,110.3,3.03,125.6,3.894,6.721,8.41,10.09,79.9,12.64,91.6,12.89,91.2,1015,1019
2015-09-11T00:00:00,5.469,5.387,5.279,4.962,0.345,0.36,0.413,0.476,6.429,6.354,6.14,6.039,120.2,3.133,123.6,3.611,139.1,5.029,4.265,5.655,7.062,75.16,12.27,93.1,12.6,92.2,1015,1019
2015-09-11T00:30:00,5.454,5.412,5.398,5.029,0.299,0.291,0.39,0.429,6.344,6.151,6.225,6.09,118.2,2.015,121.4,2.343,136.5,3.998,4.513,5.652,6.791,80.1,12.21,92.7,12.4,92.2,1015,1019
2015-09-11T01:00:00,4.676,4.638,4.339,3.93,0.345,0.369,0.404,0.401,5.633,5.846,5.634,4.902,119.6,4.485,125,4.569,140,5.131,3.36,4.915,6.482,67.83,12.24,92.4,12.47,91.5,1015,1019
2015-09-11T01:30:00,5.711,5.658,5.032,4.452,0.434,0.406,0.418,0.354,6.327,6.455,5.971,5.581,112.5,3.68,115.4,4.298,129.8,4.134,3.927,6.003,8.11,64.73,12.37,92.5,12.51,92,1014,1019
2015-09-11T02:00:00,5.218,5.126,4.476,3.694,0.339,0.34,0.463,0.35,5.989,5.88,5.583,4.682,108,3.843,117.5,5.698,136.9,5.853,3.652,5.57,7.5,64.6,12.62,92.4,12.49,92.6,1014,1018
2015-09-11T02:30:00,5.556,5.472,4.627,3.744,0.247,0.267,0.278,0.292,6.006,6.032,5.465,4.563,113.5,1.984,116.3,3.704,129.8,4.313,3.86,5.934,8.01,64.74,12.86,91.1,12.75,92.9,1014,1018
2015-09-11T03:00:00,4.618,4.576,4.192,3.875,0.486,0.508,0.394,0.316,5.768,5.745,5.364,4.597,113.2,5.682,116.8,6.508,133.4,6.15,3.24,4.804,6.402,67,12.7,91.8,12.82,92.3,1014,1018
2015-09-11T03:30:00,3.86,3.827,3.786,3.785,0.399,0.387,0.495,0.466,4.921,4.814,4.773,5.123,120.3,5.742,125.1,5.079,139.5,5.64,2.636,3.922,5.35,65.45,12.33,92.7,12.6,91.6,1013,1018
2015-09-11T04:00:00,5.47,5.388,5.407,5.111,0.572,0.533,0.529,0.602,6.785,6.455,6.326,6.429,110,4.899,115,5.663,130.6,5.847,4.214,5.652,7.09,74.27,12.27,93.1,12.5,92.1,1013,1017
2015-09-11T04:30:00,5.906,5.841,5.406,4.785,0.36,0.363,0.25,0.281,6.7,6.659,6.478,5.53,111.6,3.346,118.5,3.352,139.1,3.827,4.631,6.213,7.795,74.85,11.91,94.1,11.71,93.4,1013,1017
