Date,Timestamp,Lat,Long,Hmax,Tp,Dirp,Sprp,Tz,Hs,TSea
2015-07-01 16:00:00,2015-01-07 16:00:00,53.63612,0.26432,2.54,5.56,156.1,29.3,4.494,1.13,7.0
2015-12-02 14:00:00,2015-02-12 14:00:00,54.64898,-1.08597,0.43,12.5,28.1,23.7,3.67,0.26,5.55
2015-12-02 14:30:00,2015-02-12 14:30:00,54.649,-1.08584,0.38,14.29,30.9,25.0,4.494,0.26,5.55
2015-12-02 15:00:00,2015-02-12 15:00:00,54.64902,-1.08582,0.34,14.29,30.9,23.3,5.556,0.24,5.6
2015-12-02 15:30:00,2015-02-12 15:30:00,54.64897,-1.08589,0.29,12.5,26.7,19.4,5.882,0.22,5.6
2015-12-02 16:00:00,2015-02-12 16:00:00,54.64894,-1.08604,0.46,14.29,28.1,12.8,5.97,0.23,5.6
2015-12-02 16:30:00,2015-02-12 16:30:00,54.64894,-1.08593,0.38,12.5,28.1,14.3,7.018,0.23,5.6
2015-12-02 17:00:00,2015-02-12 17:00:00,54.64891,-1.08595,0.29,11.11,29.5,15.2,5.797,0.21,5.6
2015-12-02 17:30:00,2015-02-12 17:30:00,54.64897,-1.08582,0.35,12.5,18.3,16.9,6.154,0.22,5.55
2015-12-02 18:00:00,2015-02-12 18:00:00,54.64898,-1.08576,0.41,12.5,26.7,18.4,6.349,0.22,5.55
2015-12-02 18:30:00,2015-02-12 18:30:00,54.64904,-1.08518,0.36,14.29,26.7,16.2,6.897,0.25,5.55
2015-12-02 19:00:00,2015-02-12 19:00:00,54.64887,-1.08479,0.53,12.5,28.1,27.5,4.211,0.25,5.55
2015-12-02 19:30:00,2015-02-12 19:30:00,54.64868,-1.08466,0.37,11.76,22.5,18.7,4.444,0.25,5.55
2015-12-02 20:00:00,2015-02-12 20:00:00,54.64852,-1.08464,0.43,12.5,29.5,13.5,5.195,0.26,5.5
2015-12-02 20:30:00,2015-02-12 20:30:00,54.64857,-1.08464,0.5,13.33,29.5,16.5,4.04,0.29,5.5
2015-12-02 21:00:00,2015-02-12 21:00:00,54.64873,-1.08464,0.43,13.33,28.1,20.8,3.636,0.29,5.5
2015-12-02 21:30:00,2015-02-12 21:30:00,54.64856,-1.08464,0.47,12.5,23.9,25.4,3.15,0.3,5.5
2015-12-02 22:00:00,2015-02-12 22:00:00,54.64856,-1.08462,0.54,13.33,28.1,18.2,3.306,0.3,5.45
2015-12-02 22:30:00,2015-02-12 22:30:00,54.6486,-1.08469,0.44,12.5,22.5,28.6,3.333,0.3,5.45
2015-12-02 23:00:00,2015-02-12 23:00:00,54.64889,-1.08494,0.56,12.5,18.3,19.6,3.15,0.33,5.45
2015-12-02 23:30:00,2015-02-12 23:30:00,54.64904,-1.08561,0.56,13.33,26.7,24.7,3.226,0.35,5.45
2015-02-13 00:00:00,2015-02-13 00:00:00,54.64902,-1.08578,0.49,13.33,25.3,13.7,3.279,0.36,5.4
2015-02-13 00:30:00,2015-02-13 00:30:00,54.64898,-1.08591,0.5,11.76,22.5,17.8,3.333,0.33,5.4
2015-02-13 01:00:00,2015-02-13 01:00:00,54.64898,-1.08595,0.48,11.76,22.5,21.8,3.509,0.33,5.4
2015-02-13 01:30:00,2015-02-13 01:30:00,54.64894,-1.08604,0.54,12.5,28.1,12.6,4.0,0.33,5.4
2015-02-13 02:00:00,2015-02-13 02:00:00,54.64895,-1.08604,0.49,12.5,22.5,16.0,4.082,0.34,5.4
2015-02-13 02:30:00,2015-02-13 02:30:00,54.64891,-1.08608,0.42,13.33,25.3,14.0,4.762,0.33,5.45
2015-02-13 03:00:00,2015-02-13 03:00:00,54.6489,-1.08608,0.52,13.33,26.7,15.1,4.04,0.31,5.45
2015-02-13 03:30:00,2015-02-13 03:30:00,54.64895,-1.08604,0.56,12.5,16.9,20.7,3.96,0.33,5.45
